job_title,company,address,job_type,seniority,categories,salary_from,salary_to,salary_type,description,url
Restaurant Manager,BLU JAZ PTE. LTD.,11 BALI LANE 189848,Full Time,Manager,F&B,"$2,800","$2,800",Monthly,"Roles & ResponsibilitiesThe Manager/Senior Manager uses data analytics and determines new strategies to make production processes more efficient to meet organisation's goals. He/She establishes, implements and manages projects to meet operational objectives. He/She manages his/her team resources and balances between production requirement and manpower resources to ensure organisation's sustainability. He/She integrates quality principles and methodology to enhance engineering performance within the organisation.In addition the Manager/Senior Manager evaluates the organisation’s approach towards a lean enterprise and uses data analytics for business insights identification. He/She drives innovation practices in the organisation and review manufacturing processes to reduce working capital and optimize inventory levels.As a people manager, the Manager oversees manpower, financial, training and resource planning deployment within the organisation. He displays a high level of organisational awareness and leadership skills by working in a consultative manner with other departments/sections within the organisation.Requirements ~ Analyse data for business insights identification. ~ Analyse production efficiencies. ~ Conduct interviews and make hiring decisions. ~ Determine priorities dynamically and set planning assumptions for work in progress levels by product, cycle time and yield. ~ Develop On-the-job training programme. ~ Develop workplace learning plan. ~ Evaluate organisations approach towards a lean enterprise. ~ Evaluate the sustainability of manufacturing process by preparing rough cut capacity plans. ~ Evaluate workplace safety and health management system for compliance and improvement. ~ Improve operation planning through use of big data and advanced analytics modelling. ~ Integrate quality principles and methodology to enhance engineering performance. ~ Lead change management in the organisation. ~ Manage balance between production requirement and manpower resources. ~ Manage innovation practises in organisation. ~ Manage manufacturing key metrics including loading, performance to commitments, on time delivery and bottlenecks. ~ Manage material requirements planning taking into account the sales forecast, production plan and production capacity. ~ Resolve workplace grievances and disputes. ~ Review manufacturing processes to reduce working capital and optimise inventory levels.",https://www.mycareersfuture.sg/job/restaurant-manager-blu-jaz-c126ab99d1ea42514db1c76ed6209e95
"Regional Project Leader, Supply Chain Management",ROBERT BOSCH (SOUTH EAST ASIA) PTE. LTD.,11 BISHAN STREET 21 573943,Permanent,Senior Executive,Logistics / Supply Chain,"$7,000","$10,000",Monthly,"Roles & Responsibilities Regional responsibility for the development and implementation of innovative supply chain concepts (primarily in inventory and supply planning area) Continuous improvement of existing processes in these areas Enabling of users to effectively apply the provided concepts and processes Presentation of work results towards internal and external stakeholders including senior management Measure operational performance for subset of logistics performance indicators and analyze deviations using database and data analytics software Requirements Bachelor/master degree in business administration, industrial or mechanical engineering or information technology (ideally with major in logistics or operations management) Minimum 3-5 years of relevant working experience in logistics and supply chain management, preferably from a consulting or consumer goods company Ability to understand and solve complex supply chain problems in a self driven manner Sound background in ERP systems (preferably SAP R/3) as well as supply chain planning software Preferably experience with digital integration of suppliers via EDI / WebEDI Strong conceptual and communicative capabilities Proficiency in MS Excel as well as preferably in database and data analytics software (e.g. SQL, PowerBI, Tableau) Autonomous but team oriented and cultural sensitive working style Motivation to continuously learn and enhance own capabilties Willingness to sporadically travel within Asia-Pacific region Knowledge in project management and agile development (scrum) methods (not mandatory) ",https://www.mycareersfuture.sg/job/regional-project-leader-supply-chain-management-robert-bosch-342ae05d0c05a65a1e23a8d57bb6a4ea
Human Resource Executive,Company Undisclosed,,Full Time,Executive,Human Resources ,,,,"Roles & ResponsibilitiesThe Human Resource Executive (Performance and Rewards) supports execution of performance management programmes, and compensation and benefits plans. He/She compares the organisation's compensation and benefits programmes with other organisations. He/She oversees the preparation of the payroll reports and works with benefits partners for claim disbursements.  He/She ensures the accuracy of performance and compensation records in the systems, as well as ensuring regulations are followed. He/She performs data analytics and shares insights reports with senior members of the team.  He/She works well in a team environment, and is able to communicate well with various stakeholders. He/She possesses an analytical mind and displays keen insight into data, using them to address issues and find solutions to work challenges.RequirementsSummary a. Setting of Standard Operating Procedure(SOP) b. Filing and Documentation c. Counselling of Staff d. Hiring of Staff e. Contract Drafting f. Staff Training Schedule g. Company and Staff’s Career Planning h. Team Bonding i. Tracking and Processing of Leave Application j. Other Ad Hoc Duties  ",https://www.mycareersfuture.sg/job/human-resource-executive-df782b3d4ea963af689e62f1819fae0c
SENIOR BUTCHER,Company Undisclosed,44 JALAN MERAH SAGA 278116,Full Time,Manager,F&B,"$5,000","$6,000",Monthly,"Roles & ResponsibilitiesThe Manager uses data analytics and determines new strategies to make production processes more efficient to meet organisation's goals. He/she manages his/her team resources and balances between production requirement and manpower resources to ensure organisation's sustainability. He/she integrates quality principles and methodology to enhance the performance within the organisation. In addition, the Manager has to display a high level of organisational awareness and leadership skills by working in a consultative and cooperative manner with other departments within the organisation.  Manage balance between production requirement and manpower resources Manage all aspects of retail outlet Following HACCP procedures and have high standards of quality Manage material requirements planning taking into account the sales forecast, production plan and production capacity Manage monthly stocktake, stock control and stock ordering Lead management in organisation Develop on-the-job training programme Develop workplace learning plan Requirements Candidate has to have experience as a store manager – Senior butcher to run one of our Butcheries Must be fully qualified Butcher with certificates by western standards (ie certificate in meat processing) Must excel in Service and display of meats, products Possesses a pleasant and outgoing personality Positive attitude with service-oriented mindset Able to work independently Able to commence work immediately  ",https://www.mycareersfuture.sg/job/senior-butcher-49f5ef2314881f3d273a1378e7b23551
"Technology Risk Manager (Data Analytics), Advisory, Singapore",ERNST & YOUNG ADVISORY PTE. LTD.,1 RAFFLES QUAY 048583,Permanent,Manager,Consulting ,"$6,000","$12,000",Monthly,"Roles & ResponsibilitiesOur clients rely on us in providing them with a candid and reliable overview of their risk landscape and the controls in place. You will be part of the team that helps our clients conduct assessments and assurance reviews on the effectiveness of controls in their processes and systems. As a data analytics professional supporting this team, you will be responsible for leading the team in performing data driven analysis to help identify areas to enhance process and technology controls, improve IT operations and compliance processes as well as to achieve company-wide cost efficiencies. Our structured career framework means you’ll continue to develop, whatever level you’re at. So whenever you join, however long you stay, the exceptional EY experience lasts a lifetime.    The opportunity In this role, you lead a team to work on client-facing projects to perform data driven analysis in identifying areas of improvement in their processes and controls from data. We will be looking to you to apply your knowledge and experience to shape our services. You’ll build valuable relationships with clients and develop strong capabilities, through both formal training and on-the-job training.RequirementsYour key responsibilities As a team manager of the data analytics team, you will be responsible for coordinating and managing the planning, execution and delivery of data analytics projects. You will lead the data analytics team to support you in the development analytics test procedures and statistical models and algorithms to analyse client’s data to identify instances of process or control gaps, occurrences of unauthorised or non-compliant activities within the organization and cost optimization opportunities. You will also be required to assist in business development activities such as thought leadership, go-to-market materials and business proposals. You will bring a level of data analytics knowledge to our clients and play an important role in communicating the solution in client meetings and workshops by providing high level understanding of data analytics in the risk domain and responding to client queries.   Skills and attributes for success   Ability to network and build strong relationships with internal stakeholders and external clients   Strong project management and leadership skills with the ability to manage multiple projects concurrently   Strong presentation and communication skills   Thrive under pressure and handle ambiguous situations     To qualify for the role you must have   At least a recognized university degree in Mathematics, Statistics, Analytics or any other relevant discipline   At least 5 years of work experience, with at least 2 years as a project lead responsible for delivering data analytics projects preferably in an advisory role.   Good knowledge of data analytics modelling techniques and statistical analysis and proficient in data analytics tools such SPSS, R, Python or SQL   Good communications skills and be able to explain analysis, both verbally and in writing, to others and translate analysis into a clear business plan   Proficiency in computer software (Word/ Excel/ Outlook)     Ideally, you’ll also have   Knowledge of process risk and controls concepts   What we look for We’re interested in flexible professionals with excellent problem-solving skills and the ability to prioritise shifting workloads in a rapidly changing industry. You’ll also need the confidence to give professional advice and guidance to colleagues and clients from a diverse range of cultures, often with limited information – both verbally and in writing. If you’re a fast learner, with strong influencing skills and a genuine passion for information system security, this role is for you.   What working at EY offers We offer a competitive compensation package where you’ll be rewarded based on your performance and recognized for the value you bring to our business. We also offer you:  Support, coaching and feedback from some of the most engaging colleagues around Opportunities to develop new skills and progress your career The freedom and flexibility to handle your role in a way that’s right for you    About EY As a global leader in assurance, tax, transaction and advisory services, we’re using the finance products, expertise and systems we’ve developed to build a better working world. That starts with a culture that believes in giving you the training, opportunities and creative freedom to make things better. Whenever you join, however long you stay, the exceptional EY experience lasts a lifetime. And with a commitment to hiring and developing the most passionate people, we’ll make our ambition to be the best employer by 2020 a reality.   If you can confidently demonstrate that you meet the criteria above, please contact us as soon as possible. Join us in building a better working world. Apply now.",https://www.mycareersfuture.sg/job/technology-risk-manager-advisory-singapore-ernst-young-advisory-bc68d37467182c6e1f7bae36696b9265
Lead UI / UX Designer,FUNDNEL PTE. LTD.,"NANKIN ROW, 3 PICKERING STREET 048660",Full Time,Senior Management,Design,"$6,000","$8,000",Monthly,"Roles & ResponsibilitiesWe're looking for passionate, design-driven people to join our proven team as a Lead UI/UX Designer based in Singapore.   Some things to know before you apply  We have big plans to disrupt the traditional fundraising process for private businesses through the use of our online investment/capital raising platform (fundnel.com) You will work with a diverse team of former investment bankers, product engineers and specialists, and data analysts in developing, monitoring and improving the platform to facilitate the activity of private investing More specifically, you will be leading all design-related work for Fundnel, working closely with our product team consisting a product owner, UI designer, data analytics manager, and a full stack engineering and QA team You will be required to travel on a monthly/quarterly basis to be on-location with our product team based in Jakarta, Indonesia for product and sprint planning and reviews    Roles & Responsibilities  Lead and manage design thinking of UI development, underpinned by UX as reason for build, for all front-end and back-end features on the platform to assist investors in discovery, due diligence and evaluation of all investment opportunities, and business owners in creation and maintenance of all capital raising activities:     work with other inhouse UI/UX designers to lead design thinking and UI development of all upcoming product features in accordance with timelines established together with the product owner develop web-ready, hi-fidelity prototypes and other supporting assets for implementation on the platform on, making use of tools such as Sketch, Craft and Invision (across desktop, mobile and tablet interfaces) enforce and ensure robust design quality and viability in line with the product roadmap, working in fixed-interval design sprints to ensure continuous development of the platform consistently and continuously engage, trial, test and prove design thinking and prototypes with internal and external stakeholders work through UX thinking, storyboarding and design best practice to test and validate UI concepts (do not design for design sake, every UI design must be validated through UX) establish, document and help your design team maintain overarching UX and UI standards to create a unified design framework for Fundnel by 4Q 2018   Work with other inhouse designers to lend a hand and support business divisions with design, branding and sales and marketing collaterals Work with the marketing manager to apply design consistencies to all forms of marketing and communication:     visuals support for all outgoing marketing campaigns (internal and external stakeholders) media and press enquiry support     RequirementsSkills & Experience Required  3-5 years of user experience and user interface design Experience in the finance / fintech sector is a bonus Experience in B2B, platform and SaaS, with system and process design thinking will set you apart Design agency experience a bonus Strong experience with AGILE methodologies Timeline driven Experience working with a product team (product owner, designers, engineers, QA) Technical proficiency in design software (Adobe suite) and prototyping tools (Sketch, Craft, Invision is required A Diploma or Degree in Interaction Design, Human Computer Interaction, Cognitive Systems, Visual Design & Communications, or equivalent    The ideal candidate should be  Be interested to work in the small business (startup) environment Possess a strong interest in fintech / financial services Strong UI design skills and implementation Trained in UX experiential thinking Get stuck-in to learn and run with design thinking practices from the get go Challenge conventional thinking and push design to achieve functionality and beauty Have a basic understanding of terms in financial statements and financial ratios ",https://www.mycareersfuture.sg/job/lead-ui-ux-designer-fundnel-63f6172908d7adaa46088edbbd258cc4
Manager - Operations (Regional Control Center),LF LOGISTICS SERVICES PTE. LTD.,10 BULIM AVENUE 648165,Full Time,Manager,Logistics / Supply Chain,"$5,000","$6,800",Monthly,"Roles & ResponsibilitiesResponsible to actively engage with internal and external stakeholders to establish a collaborative working relationship for the achievement of business and supply chain objectives. He/she is accountable to the supply chain processes of key customer including but not limited to warehouse capacity management, freight forwarder management, customs process management, client management,  driving operation efficiencies, participating in continuous process improvement activities that drive best in class supply chain metrics, cost, service, inventory, and cycle time. By leveraging on data analytics, he/she will also minimize supply chain risks (operation, freight and customs) by working closely with all related departments.  Main duties and responsibilities will be as follows:-    Supervise all movements (inbound, storage, VAS, outbound, freight) along the supply chain. Be the single contact point of key customer and attend to all enquiries/escalations, follow through internally/externally up to the closure of all enquiries/escalations. Lead any project initiative/process improvement initiated internally/externally and ensure successful implementation, which include but not limited to project management, SOP drafting and revision etc. Capacity Management - Actively review production backlog and work with customer, warehouse manager in capacity and shipment planning, critically propose shipment re-scheduling if necessary. Work closely with customer to increase operation efficiency and uplift overall customer service level. Monitor and drive order linearity by country and by product category against customer’s target. Operation Process Improvement – Constantly review operation processes to identify potential gap or room for improvement. Drives process change and automation to improve end-to-end supply chain efficiencies and to meet key supply chain metrics in term of cost, service, inventory, and cycle time. Monitor warehouse productivities and drive cost control initiatives and order fulfillment. Liaise with customers and clients of customers via e-mail & telephone for any escalation matters regarding inbound supply, storage, quality (discrepancies and damages), value added service, capacity, outbound transport, outbound freight, customs processes, IT related enquiries, and follow through to close the matters. Communicate and coordinate abovementioned enquiries/escalations internally with functional department such as IT, Customs Brokerage, Transport and Freight department. KPI reporting and ensuring Key Performance Indexes are met. Attend meetings regarding operations/alignment/improvement initiatives and prepare materials for presentation if necessary. Perform other job-related functions as and when assigned by the next-in-line manager/country manager.    Requirements Degree in Logistics/Supply Chain/Warehouse Management and/or Industrial Engineering 3 - 5 years of relevant working experience in warehouse/logistics/freight forwarding.  Experience in professional customer service, shipping process and documentation. Knowledge about bonded warehouse operation and related customs processes will be an advantage. Knowledge on shipping related documents such as FTA Documents, MSDS. Proficient in MS Word, MS Excel, MS Powerpoint, MS Visio and WMS system. Ability to work in fast pace and dynamic environment. Willing to embrace change and ability to think quickly and perform problem solving tasks, even with changing conditions. Reaction time to multiple tasks with ability to prioritize. Good analytical and mathematical skills including data evaluation, identification, solution development and implementation. Self-motivated and goal oriented, with a positive proactive attitude and a high degree of initiative. Good communications, interpersonal skills and ability to build strong relationships both internally and externally. Good command of written and spoken in English. Influencing and collaborative skills across various levels in the organization.  Work location: 10 Bulim Avenue Transport provided at Boon Lay, Jurong East & Choa Chu Kang MRT",https://www.mycareersfuture.sg/job/manager-operations-lf-logistics-services-581ee7683de075345c3db4582fb4fdfd
Assistant Manager - Operations  (Regional Control Center),LF LOGISTICS SERVICES PTE. LTD.,10 BULIM AVENUE 648165,Full Time,Manager,Logistics / Supply Chain,"$4,300","$6,000",Monthly,"Roles & ResponsibilitiesResponsible to actively engage with internal and external stakeholders to establish a collaborative working relationship for the achievement of business and supply chain objectives. He/she is accountable to the supply chain processes of key customer including but not limited to warehouse capacity management, freight forwarder management, customs process management, client management,  driving operation efficiencies, participating in continuous process improvement activities that drive best in class supply chain metrics, cost, service, inventory, and cycle time. By leveraging on data analytics, he/she will also minimize supply chain risks (operation, freight and customs) by working closely with all related departments.  Main duties and responsibilities will be as follows:-    Supervise all movements (inbound, storage, VAS, outbound, freight) along the supply chain. Be the single contact point of key customer and attend to all enquiries/escalations, follow through internally/externally up to the closure of all enquiries/escalations. Lead any project initiative/process improvement initiated internally/externally and ensure successful implementation, which include but not limited to project management, SOP drafting and revision etc. Capacity Management - Actively review production backlog and work with customer, warehouse manager in capacity and shipment planning, critically propose shipment re-scheduling if necessary. Work closely with customer to increase operation efficiency and uplift overall customer service level. Monitor and drive order linearity by country and by product category against customer’s target. Operation Process Improvement – Constantly review operation processes to identify potential gap or room for improvement. Drives process change and automation to improve end-to-end supply chain efficiencies and to meet key supply chain metrics in term of cost, service, inventory, and cycle time. Monitor warehouse productivities and drive cost control initiatives and order fulfillment. Liaise with customers and clients of customers via e-mail & telephone for any escalation matters regarding inbound supply, storage, quality (discrepancies and damages), value added service, capacity, outbound transport, outbound freight, customs processes, IT related enquiries, and follow through to close the matters. Communicate and coordinate abovementioned enquiries/escalations internally with functional department such as IT, Customs Brokerage, Transport and Freight department. KPI reporting and ensuring Key Performance Indexes are met. Attend meetings regarding operations/alignment/improvement initiatives and prepare materials for presentation if necessary. Perform other job-related functions as and when assigned by the next-in-line manager/country manager. 	   Requirements Degree in Logistics/Supply Chain/Warehouse Management and/or Industrial Engineering 3 - 5 years of relevant working experience in warehouse/logistics/freight forwarding.  Experience in professional customer service, shipping process and documentation. Knowledge about bonded warehouse operation and related customs processes will be an advantage. Knowledge on shipping related documents such as FTA Documents, MSDS. Proficient in MS Word, MS Excel, MS Powerpoint, MS Visio and WMS system. Ability to work in fast pace and dynamic environment. Willing to embrace change and ability to think quickly and perform problem solving tasks, even with changing conditions. Reaction time to multiple tasks with ability to prioritize. Good analytical and mathematical skills including data evaluation, identification, solution development and implementation. Self-motivated and goal oriented, with a positive proactive attitude and a high degree of initiative. Good communications, interpersonal skills and ability to build strong relationships both internally and externally. Good command of written and spoken in English. Influencing and collaborative skills across various levels in the organization.  Work location: 10 Bulim Avenue Transport provided at Boon Lay, Jurong East & Choa Chu Kang MRT",https://www.mycareersfuture.sg/job/assistant-manager-operations-lf-logistics-services-b1677f151acd84ec05f4d62f8ee82807
"Sr. Associate, Strategy & Planning - International Business Development",UBER SINGAPORE TECHNOLOGY PTE. LTD.,"MAPLETREE ANSON, 60 ANSON ROAD 079914",Permanent,Senior Executive,Marketing / Public Relations ,"$6,000","$8,000",Monthly,"Roles & ResponsibilitiesAbout the Role We’re changing the way people think about transportation. Not that long ago we were just an app to request premium black cars in a few metropolitan areas. Now we’re a part of the logistical fabric of more than 600 cities around the world. Whether it’s a ride, a sandwich, or a package, we use technology to give people what they want, when they want it. For the people who drive with Uber, our app represents a flexible new way to earn money. For cities, we help strengthen local economies, improve access to transportation, and make streets safer. And that’s just what we’re doing today. We’re thinking about the future, too. With teams working on new modalities, self-driving cars and even urban air transportation, we’re in for the long haul. We’re reimagining how people and things move from one place to the next. What You’ll Do  Develop global and regional business development strategy, including opportunity sizing and prioritization of resources (BD, Product, Operations, Marketing) in collaboration with the Heads of Business Development Strategy & Planning Evaluate partnership opportunities across several industries, performing a broad range of quantitative and qualitative analyses Drive team accountability by managing the deal pipeline and review process, ensuring deals serve company strategy, accounting for risk appropriately, monitoring competitive developments, and conducting impact assessments / readouts in collaboration with the data analytics team Routinely present results of financial modeling and analysis and act as a thought partner to various Business Development team leads globally Interface with external executives alongside seasoned Business Development professionals to forge complex deals and relationships RequirementsWhat We're Looking for  3 - 6 years as an analyst at a leading investment bank, private equity, consulting firm, or tech company in an analytical role Highly analytical with strong financial modeling and complex problem solving skills Effective oral and written communication skills Familiarity collaborating with and presenting to senior executives Ability to work in cross functional teams (Business Development, Legal, Finance, Accounting, etc.) Ability to multi-task and deal with time pressure in an unstructured environment; ability to work through uncertainty Undergraduate degree from a top school, with demonstrated strong academic performance SQL capability or willingness to learn is a plus ",https://www.mycareersfuture.sg/job/sr-associate-strategy-planning-international-business-development-uber-singapore-technology-7a410fda294df7a6443f4f88188471bc
Senior Manager / Manager(Data policy & Research),Company Undisclosed,,Permanent,Manager,"Admin / Secretarial, Others, Public / Civil Service",,,,"Roles & Responsibilities Formulate and review policy positions, frameworks and strategies relating to AI and data, ethics and the protection of personal data Conduct policy discussions, engagements and consultations with stakeholders (e.g. public, industry, government agencies) and address stakeholder feedback in the review and formulation of strategies, regulatory policies and frameworks Undertake horizon scanning, research and analyses on current and emerging trends and developments in the area of AI and data analytics, regulatory policies and technologies relating to AI and data, ethics and the protection of personal Coordinate and execute key initiatives by the Advisory Council on the Ethical Use of AI and Data. This includes planning the Council’s agenda, preparing discussion and background papers for the Council’s deliberation, providing regular updates and reports to the Council, and drafting recommendations, guidelines and codes of practice to be issued by the Council Engage key stakeholders and drive advocacy of Singapore’s thought leadership on issues, proposals and recommendations relating to data, the protection of personal data, and the ethics of AI and data use via key local and international platforms Drive strategic research collaborations with key partners and organisation of events/seminars under the Research Programme on Governance of AI and Data Use Requirements Masters or good bachelor’s degree in any relevant discipline (e.g., economics, sociology, philosophy, political science, computer science, technology studies) At least 5-7 years of experience in research or policy analyses, preferably in technology-related fields such as AI and data technologies Strong aptitude and interest in ethics, data science and technologies Strong planning and project management skills, able to prioritise tasks to meet tight deadlines while maintaining high standard of accuracy and attention to details Excellent writing and communication skills and ability to engage various stakeholders Self-driven, able to work independently as well as in a team Individuals with experience in a similar or related role (e.g., Secretariat, think-tank, international organisation, policy advocacy) are welcome to apply ",https://www.mycareersfuture.sg/job/senior-manager-manager-06ae35c406ed426d53b3150156dbc4e9
"Internal Audit Associate (Data Analytics), Advisory, Singapore",ERNST & YOUNG ADVISORY PTE. LTD.,1 RAFFLES QUAY 048583,Permanent,"Executive, Non-executive",Accounting / Auditing / Taxation,"$3,000","$6,000",Monthly,"Roles & ResponsibilitiesManagement and boards of directors rely heavily on internal audit to provide important proactive assessments and assurance around the effectiveness of controls and company processes, while also providing objective advisory support. As an internal audit professional, you will be leading engagements to identify control enhancements, operational and compliance process improvement and efficiency opportunities, as well as company-wide cost improvements. EY is a global leading service provider in this space, with a reputation for high quality and cost-effective innovative offerings.   Our structured career framework means you’ll continue to develop, whatever level you’re at. And with a network stretching around the globe, you’ll gain valuable insight across industries and geographies. So whenever you join, however long you stay, the exceptional EY experience lasts a lifetime.     The opportunity   As part of the Internal Audit team, you will be working with the colleagues on using analytics to deliver quality engagements to our clients and also to drive the adoption of analytics in the team. You will be driving the Data Analytics functionality for the Internal Audit team by partnering with team members to improve the adoption of analytics. You will also provide support to engagement teams on using analytics to deliver quality engagements.   Your key responsibilities In this role, you will work on client-facing projects to perform data driven analysis in identifying areas of improvement in their processes and controls from data. We will be looking to you to apply your knowledge and experience to help shape our services. You’ll build valuable relationships with clients and develop strong capabilities, through both formal training and on-the-job training.  RequirementsSkills and attributes for success   Familiar with data sourcing, data capture, data transformation and data preparation techniques   Knowledge of  ACL, Power BI and hands on experience / theoretical knowledge in SQL including writing stored procedures and data extraction / manipulation using queries   Ability to manage the execution of data analytics projects for engagements to drive value and gain insight from information   Analyze and review the use of advanced data analysis techniques that leverage technology to process large volumes of data, and perform complex computations in a scalable, reproducible and automated manner.   Perform data analytics to identify and mitigate audit risks and achieve data automation, reconciliation, traceability, lineage and transparency.   Use data analytics to provide actionable, timely and accurate data to drive business insights around regulatory risk, compliance, operations and finance.   Demonstrate in-depth technical capabilities and professional knowledge.   Excellent verbal/written communication skills   Strong organizational, project management and analytical skills      To qualify for the role you must have   Recognized Bachelor's or Master's degree in Economics, Econometrics, Engineering, Physics, (Applied) Mathematics, Accounting, Business or Information Systems   At least 1 complete year of relevant experience.   Candidates who have done Internal Audit work using visualization or intelligent automation tools are also welcomed to apply   Knowledge of visualization tools like Tableau, Spotfire, Qlikview, etc   Strong analytical, interpersonal and communication skills   Excellent command of spoken and written English   Willingness to travel on overseas assignments     Ideally, you’ll also have   Experience relating to Business process automation     What we look for Highly motivated individuals with excellent problem-solving skills and the ability to prioritize shifting workloads in a rapidly changing industry. An effective communicator, you’ll be a confident team player that collaborates with people from various teams while looking to develop your career in a dynamic organization.   What working at EY offers We offer a competitive compensation package where you’ll be rewarded based on your performance and recognized for the value you bring to our business. We also offer you:   Support, coaching and feedback from some of the most engaging colleagues around   Opportunities to develop new skills and progress your career   The freedom and flexibility to handle your role in a way that’s right for you     About EY As a global leader in assurance, tax, transaction and advisory services, we’re using the finance products, expertise and systems we’ve developed to build a better working world. That starts with a culture that believes in giving you the training, opportunities and creative freedom to make things better. Whenever you join, however long you stay, the exceptional EY experience lasts a lifetime. And with a commitment to hiring and developing the most passionate people, we’ll make our ambition to be the best employer by 2020 a reality.   If you can confidently demonstrate that you meet the criteria above, please contact us as soon as possible. Join us in building a better working world. Apply now.",https://www.mycareersfuture.sg/job/internal-audit-associate-advisory-singapore-ernst-young-advisory-3ca63c1809e553dda57dbc40caa36d06
"Internal Audit Senior Associate (Data Analytics), Advisory, Singapore",ERNST & YOUNG ADVISORY PTE. LTD.,1 RAFFLES QUAY 048583,Permanent,"Executive, Non-executive",Accounting / Auditing / Taxation,"$4,100","$8,200",Monthly,"Roles & ResponsibilitiesManagement and boards of directors rely heavily on internal audit to provide important proactive assessments and assurance around the effectiveness of controls and company processes, while also providing objective advisory support. As an internal audit professional, you will be leading engagements to identify control enhancements, operational and compliance process improvement and efficiency opportunities, as well as company-wide cost improvements. EY is a global leading service provider in this space, with a reputation for high quality and cost-effective innovative offerings.   Our structured career framework means you’ll continue to develop, whatever level you’re at. And with a network stretching around the globe, you’ll gain valuable insight across industries and geographies. So whenever you join, however long you stay, the exceptional EY experience lasts a lifetime.   The opportunity As part of the Internal Audit team, you will be working with the colleagues on using analytics to deliver quality engagements to our clients and also to drive the adoption of analytics in the team. You will be driving the Data Analytics functionality for the Internal Audit team by partnering with team members to improve the adoption of analytics. You will also provide support to engagement teams on using analytics to deliver quality engagements.   Your key responsibilities In this role, you will work on client-facing projects to perform data driven analysis in identifying areas of improvement in their processes and controls from data. We will be looking to you to apply your knowledge and experience to help shape our services. You’ll build valuable relationships with clients and develop strong capabilities, through both formal training and on-the-job training.RequirementsSkills and attributes for success   Familiar with data sourcing, data capture, data transformation and data preparation techniques   Knowledge of  ACL, Power BI and hands on experience / theoretical knowledge in SQL including writing stored procedures and data extraction / manipulation using queries   Ability to manage the execution of data analytics projects for engagements to drive value and gain insight from information   Analyze and review the use of advanced data analysis techniques that leverage technology to process large volumes of data, and perform complex computations in a scalable, reproducible and automated manner.   Perform data analytics to identify and mitigate audit risks and achieve data automation, reconciliation, traceability, lineage and transparency.   Use data analytics to provide actionable, timely and accurate data to drive business insights around regulatory risk, compliance, operations and finance.   Demonstrate in-depth technical capabilities and professional knowledge.   Excellent verbal/written communication skills   Strong organizational, project management and analytical skills      To qualify for the role you must have   Recognized Bachelor's or Master's degree in Economics, Econometrics, Engineering, Physics, (Applied) Mathematics, Accounting, Business or Information Systems   At least 2 complete years of relevant experience.   Candidates who have done Internal Audit work using visualization or intelligent automation tools are also welcomed to apply   Knowledge of visualization tools like Tableau, Spotfire, Qlikview, etc   Strong analytical, interpersonal and communication skills   Excellent command of spoken and written English   Willingness to travel on overseas assignments     Ideally, you’ll also have   Experience relating to Business process automation     What we look for Highly motivated individuals with excellent problem-solving skills and the ability to prioritize shifting workloads in a rapidly changing industry. An effective communicator, you’ll be a confident team player that collaborates with people from various teams while looking to develop your career in a dynamic organization.   What working at EY offers We offer a competitive compensation package where you’ll be rewarded based on your performance and recognized for the value you bring to our business. We also offer you:   Support, coaching and feedback from some of the most engaging colleagues around   Opportunities to develop new skills and progress your career   The freedom and flexibility to handle your role in a way that’s right for you  ",https://www.mycareersfuture.sg/job/internal-audit-senior-associate-advisory-singapore-ernst-young-advisory-72aecd6c509ef509193a076f2a8ba1b9
